len, loss, latency, variance, mss, elapsed, bps, window
102400 , 0 , 0 , 5 , 25 , 13.410008 , 61088.703302787 , 4
102400 , 0 , 0 , 5 , 25 , 3.004455 , 272661.76394720504 , 24
102400 , 0 , 0 , 5 , 25 , 1.89587 , 432097.13746195677 , 44
102400 , 0 , 0 , 5 , 25 , 1.271721 , 644166.4484584276 , 64
102400 , 0 , 0 , 5 , 50 , 6.356114 , 128883.78024686153 , 4
102400 , 0 , 0 , 5 , 50 , 1.426148 , 574414.4366503337 , 24
102400 , 0 , 0 , 5 , 50 , 0.974967 , 840233.5668796995 , 44
102400 , 0 , 0 , 5 , 50 , 0.595537 , 1375565.2461559903 , 64
102400 , 0 , 0 , 5 , 75 , 4.432535 , 184815.23552549502 , 4
102400 , 0 , 0 , 5 , 75 , 0.847016 , 967160.0064225469 , 24
102400 , 0 , 0 , 5 , 75 , 0.548526 , 1493457.0102419942 , 44
102400 , 0 , 0 , 5 , 75 , 0.414836 , 1974756.2892323714 , 64
102400 , 0 , 0 , 5 , 100 , 3.020931 , 271174.68091790244 , 4
102400 , 0 , 0 , 5 , 100 , 0.801441 , 1022158.8363959419 , 24
102400 , 0 , 0 , 5 , 100 , 0.400861 , 2043601.1485277938 , 44
102400 , 0 , 0 , 5 , 100 , 0.326435 , 2509534.8231654083 , 64
102400 , 5 , 0 , 5 , 25 , 79.986228 , 10241.763119521025 , 4
102400 , 5 , 0 , 5 , 25 , 33.688597 , 24316.833378368352 , 24
102400 , 5 , 0 , 5 , 25 , 21.839419 , 37510.155375470385 , 44
102400 , 5 , 0 , 5 , 25 , 17.61905 , 46495.12885200961 , 64
102400 , 5 , 0 , 5 , 50 , 41.598442 , 19693.045234722973 , 4
102400 , 5 , 0 , 5 , 50 , 19.506913 , 41995.36851371614 , 24
102400 , 5 , 0 , 5 , 50 , 11.040967 , 74196.39964506731 , 44
102400 , 5 , 0 , 5 , 50 , 8.599762 , 95258.45017571417 , 64
102400 , 5 , 0 , 5 , 75 , 28.890141 , 28355.694075705618 , 4
102400 , 5 , 0 , 5 , 75 , 10.205328 , 80271.7952818371 , 24
102400 , 5 , 0 , 5 , 75 , 7.159262 , 114425.20192723775 , 44
102400 , 5 , 0 , 5 , 75 , 7.245256 , 113067.0883126835 , 64
102400 , 5 , 0 , 5 , 100 , 24.737584 , 33115.602558439015 , 4
102400 , 5 , 0 , 5 , 100 , 9.153283 , 89497.94297849198 , 24
102400 , 5 , 0 , 5 , 100 , 5.962299 , 137396.66527961782 , 44
102400 , 5 , 0 , 5 , 100 , 3.810498 , 214985.02295500482 , 64
102400 , 10 , 0 , 5 , 25 , 151.929978 , 5391.957602995243 , 4
102400 , 10 , 0 , 5 , 25 , 51.768329 , 15824.34696704234 , 24
102400 , 10 , 0 , 5 , 25 , 33.410427 , 24519.291537339526 , 44
102400 , 10 , 0 , 5 , 25 , 24.371004 , 33613.715709045064 , 64
102400 , 10 , 0 , 5 , 50 , 1337.357721 , 612.5511425525317 , 4
102400 , 10 , 0 , 5 , 50 , 26.440931 , 30982.267606235197 , 24
102400 , 10 , 0 , 5 , 50 , 17.425729 , 47010.94571136737 , 44
102400 , 10 , 0 , 5 , 50 , 12.553065 , 65258.962651750786 , 64
102400 , 10 , 0 , 5 , 75 , 55.080518 , 14872.772256789598 , 4
102400 , 10 , 0 , 5 , 75 , 17.057934 , 48024.57319860659 , 24
102400 , 10 , 0 , 5 , 75 , 11.331996 , 72290.88326540179 , 44
102400 , 10 , 0 , 5 , 75 , 9.853922 , 83134.41084676741 , 64
102400 , 10 , 0 , 5 , 100 , 36.940259 , 22176.346949814295 , 4
102400 , 10 , 0 , 5 , 100 , 11.611749 , 70549.23422819423 , 24
102400 , 10 , 0 , 5 , 100 , 8.118412 , 100906.43342565025 , 44
102400 , 10 , 0 , 5 , 100 , 6.377122 , 128459.20150186871 , 64
102400 , 15 , 0 , 5 , 25 , 208.915227 , 3921.2077155103684 , 4
102400 , 15 , 0 , 5 , 25 , 67.352417 , 12162.88941791057 , 24
102400 , 15 , 0 , 5 , 25 , 43.257006 , 18937.972729781624 , 44
102400 , 15 , 0 , 5 , 25 , 34.25181 , 23916.984241124777 , 64
102400 , 15 , 0 , 5 , 50 , 104.053922 , 7872.841160182314 , 4
102400 , 15 , 0 , 5 , 50 , 36.735355 , 22300.04310561311 , 24
102400 , 15 , 0 , 5 , 50 , 21.266894 , 38519.96441041179 , 44
102400 , 15 , 0 , 5 , 50 , 16.524539 , 49574.756669459886 , 64
102400 , 15 , 0 , 5 , 75 , 77.721471 , 10540.201947541627 , 4
102400 , 15 , 0 , 5 , 75 , 22.895633 , 35779.74891543728 , 24
102400 , 15 , 0 , 5 , 75 , 17.449857 , 46945.943453863256 , 44
102400 , 15 , 0 , 5 , 75 , 9.313992 , 87953.69375451471 , 64
102400 , 15 , 0 , 5 , 100 , 50.3639 , 16265.61882618304 , 4
102400 , 15 , 0 , 5 , 100 , 16.445689 , 49812.44628911564 , 24
102400 , 15 , 0 , 5 , 100 , 11.411877 , 71784.86063247966 , 44
102400 , 15 , 0 , 5 , 100 , 9.038133 , 90638.18821873942 , 64
102400 , 20 , 0 , 5 , 25 , 285.580978 , 2868.538394038275 , 4
102400 , 20 , 0 , 5 , 25 , 92.609528 , 8845.742092541494 , 24
102400 , 20 , 0 , 5 , 25 , 58.488663 , 14006.133120191173 , 44
102400 , 20 , 0 , 5 , 25 , 41.020788 , 19970.362344087585 , 64
102400 , 20 , 0 , 5 , 50 , 135.546399 , 6043.686929669006 , 4
102400 , 20 , 0 , 5 , 50 , 52.130748 , 15714.334273507835 , 24
102400 , 20 , 0 , 5 , 50 , 26.00339 , 31503.584724914712 , 44
102400 , 20 , 0 , 5 , 50 , 21.114998 , 38797.06737362703 , 64
102400 , 20 , 0 , 5 , 75 , 96.033123 , 8530.39008218029 , 4
102400 , 20 , 0 , 5 , 75 , 31.586181 , 25935.392442663455 , 24
102400 , 20 , 0 , 5 , 75 , 19.222129 , 42617.54772325168 , 44
102400 , 20 , 0 , 5 , 75 , 14.502685 , 56486.09205812579 , 64
102400 , 20 , 0 , 5 , 100 , 74.236499 , 11035.003145824536 , 4
102400 , 20 , 0 , 5 , 100 , 25.467926 , 32165.94865243444 , 24
102400 , 20 , 0 , 5 , 100 , 15.38163 , 53258.33477986403 , 44
102400 , 20 , 0 , 5 , 100 , 11.861668 , 69062.7995995167 , 64
102400 , 0 , 100 , 5 , 25 , 216.748757 , 3779.491109146245 , 4
102400 , 0 , 100 , 5 , 25 , 36.444191 , 22478.20509995681 , 24
102400 , 0 , 100 , 5 , 25 , 20.096744 , 40762.8220770489 , 44
102400 , 0 , 100 , 5 , 25 , 13.854447 , 59129.02911245754 , 64
102400 , 0 , 100 , 5 , 50 , 107.526117 , 7618.614182822207 , 4
102400 , 0 , 100 , 5 , 50 , 18.248442 , 44891.50361439075 , 24
102400 , 0 , 100 , 5 , 50 , 10.297498 , 79553.30508440013 , 44
102400 , 0 , 100 , 5 , 50 , 7.006461 , 116920.65366523841 , 64
