len, loss, latency, variance, mss, elapsed, bps, window
1024 , 0 , 0 , 5 , 25 , 0.138826 , 59009.11932923227 , 4
1024 , 0 , 0 , 5 , 25 , 0.234381 , 34951.638571385905 , 24
1024 , 0 , 0 , 5 , 25 , 0.228451 , 35858.89315433069 , 44
1024 , 0 , 0 , 5 , 25 , 0.015966 , 513090.3169234623 , 64
1024 , 0 , 0 , 5 , 50 , 0.299684 , 27335.460017885507 , 4
1024 , 0 , 0 , 5 , 50 , 0.013425 , 610204.8417132216 , 24
1024 , 0 , 0 , 5 , 50 , 0.019181 , 427089.30712684424 , 44
1024 , 0 , 0 , 5 , 50 , 0.046199 , 177319.85540812573 , 64
1024 , 0 , 0 , 5 , 75 , 0.056281 , 145555.33839128658 , 4
1024 , 0 , 0 , 5 , 75 , 0.016945 , 483446.44437887275 , 24
1024 , 0 , 0 , 5 , 75 , 0.021004 , 390020.94839078275 , 44
1024 , 0 , 0 , 5 , 75 , 0.010228 , 800938.5999217834 , 64
1024 , 0 , 0 , 5 , 100 , 0.024685 , 331861.4543244886 , 4
1024 , 0 , 0 , 5 , 100 , 0.021725 , 377077.1001150748 , 24
1024 , 0 , 0 , 5 , 100 , 0.016194 , 505866.37026059034 , 44
1024 , 0 , 0 , 5 , 100 , 0.014527 , 563915.4677497074 , 64
1024 , 5 , 0 , 5 , 25 , 0.533258 , 15362.169906499294 , 4
1024 , 5 , 0 , 5 , 25 , 0.433322 , 18905.109825949294 , 24
1024 , 5 , 0 , 5 , 25 , 0.224872 , 36429.61329111673 , 44
1024 , 5 , 0 , 5 , 25 , 0.206438 , 39682.61657253025 , 64
1024 , 5 , 0 , 5 , 50 , 0.079528 , 103007.7456996278 , 4
1024 , 5 , 0 , 5 , 50 , 0.221738 , 36944.50207001055 , 24
1024 , 5 , 0 , 5 , 50 , 0.220648 , 37127.00772270766 , 44
1024 , 5 , 0 , 5 , 50 , 0.016843 , 486374.1613726771 , 64
1024 , 5 , 0 , 5 , 75 , 0.466238 , 17570.42540505064 , 4
1024 , 5 , 0 , 5 , 75 , 0.427532 , 19161.13881534014 , 24
1024 , 5 , 0 , 5 , 75 , 0.20681 , 39611.23736763213 , 44
1024 , 5 , 0 , 5 , 75 , 0.204952 , 39970.334517350406 , 64
1024 , 5 , 0 , 5 , 100 , 0.025747 , 318172.9910280809 , 4
1024 , 5 , 0 , 5 , 100 , 0.218105 , 37559.89087824672 , 24
1024 , 5 , 0 , 5 , 100 , 0.211773 , 38682.92936304439 , 44
1024 , 5 , 0 , 5 , 100 , 0.208976 , 39200.67376158028 , 64
1024 , 10 , 0 , 5 , 25 , 2.036784 , 4022.0268815937284 , 4
1024 , 10 , 0 , 5 , 25 , 0.647437 , 12652.968551380289 , 24
1024 , 10 , 0 , 5 , 25 , 0.219558 , 37311.325481194035 , 44
1024 , 10 , 0 , 5 , 25 , 0.416902 , 19649.701848396027 , 64
1024 , 10 , 0 , 5 , 50 , 0.663497 , 12346.70239654437 , 4
1024 , 10 , 0 , 5 , 50 , 0.408422 , 20057.685433203893 , 24
1024 , 10 , 0 , 5 , 50 , 0.209576 , 39088.44524182158 , 44
1024 , 10 , 0 , 5 , 50 , 0.414737 , 19752.276744057075 , 64
1024 , 10 , 0 , 5 , 75 , 0.858299 , 9544.459448280844 , 4
1024 , 10 , 0 , 5 , 75 , 0.216888 , 37770.64660101066 , 24
1024 , 10 , 0 , 5 , 75 , 0.211923 , 38655.54942125206 , 44
1024 , 10 , 0 , 5 , 75 , 0.416962 , 19646.87429549935 , 64
1024 , 10 , 0 , 5 , 100 , 0.443845 , 18456.893735425656 , 4
1024 , 10 , 0 , 5 , 100 , 0.20218 , 40518.34998516174 , 24
1024 , 10 , 0 , 5 , 100 , 0.409883 , 19986.191181385908 , 44
1024 , 10 , 0 , 5 , 100 , 0.217136 , 37727.5071844374 , 64
1024 , 15 , 0 , 5 , 25 , 1.588091 , 5158.394575625704 , 4
1024 , 15 , 0 , 5 , 25 , 0.842324 , 9725.473808178325 , 24
1024 , 15 , 0 , 5 , 25 , 0.615434 , 13310.931797723231 , 44
1024 , 15 , 0 , 5 , 25 , 0.420131 , 19498.680173564913 , 64
1024 , 15 , 0 , 5 , 50 , 0.907566 , 9026.340784031134 , 4
1024 , 15 , 0 , 5 , 50 , 0.621721 , 13176.328288734016 , 24
1024 , 15 , 0 , 5 , 50 , 0.213942 , 38290.75169905862 , 44
1024 , 15 , 0 , 5 , 50 , 0.61651 , 13287.70011840846 , 64
1024 , 15 , 0 , 5 , 75 , 0.642966 , 12740.953642960902 , 4
1024 , 15 , 0 , 5 , 75 , 0.224012 , 36569.46949270575 , 24
1024 , 15 , 0 , 5 , 75 , 0.623833 , 13131.71954673767 , 44
1024 , 15 , 0 , 5 , 75 , 0.433912 , 18879.4041188075 , 64
1024 , 15 , 0 , 5 , 100 , 0.460505 , 17789.16624140889 , 4
1024 , 15 , 0 , 5 , 100 , 0.230842 , 35487.47628247893 , 24
1024 , 15 , 0 , 5 , 100 , 0.422918 , 19370.185236854424 , 44
1024 , 15 , 0 , 5 , 100 , 0.211807 , 38676.719844008934 , 64
1024 , 20 , 0 , 5 , 25 , 3.612002 , 2267.994314510346 , 4
1024 , 20 , 0 , 5 , 25 , 0.847576 , 9665.209963472302 , 24
1024 , 20 , 0 , 5 , 25 , 0.817496 , 10020.844138686916 , 44
1024 , 20 , 0 , 5 , 25 , 1.232065 , 6648.999849845584 , 64
1024 , 20 , 0 , 5 , 50 , 0.674708 , 12141.548640300694 , 4
1024 , 20 , 0 , 5 , 50 , 1.007103 , 8134.222616753202 , 24
1024 , 20 , 0 , 5 , 50 , 0.410356 , 19963.153944380003 , 44
1024 , 20 , 0 , 5 , 50 , 0.419738 , 19516.93675578575 , 64
1024 , 20 , 0 , 5 , 75 , 0.257032 , 31871.51794329111 , 4
1024 , 20 , 0 , 5 , 75 , 0.419503 , 19527.869884124786 , 24
1024 , 20 , 0 , 5 , 75 , 0.825916 , 9918.684224545837 , 44
1024 , 20 , 0 , 5 , 75 , 0.61832 , 13248.803208694528 , 64
1024 , 20 , 0 , 5 , 100 , 0.658949 , 12431.918099883298 , 4
1024 , 20 , 0 , 5 , 100 , 0.814512 , 10057.555935333057 , 24
1024 , 20 , 0 , 5 , 100 , 0.433072 , 18916.023201684708 , 44
1024 , 20 , 0 , 5 , 100 , 0.407788 , 20088.86970680844 , 64
1024 , 0 , 100 , 5 , 25 , 2.31731 , 3535.1334089957754 , 4
1024 , 0 , 100 , 5 , 25 , 0.438797 , 18669.225177018074 , 24
1024 , 0 , 100 , 5 , 25 , 0.226623 , 36148.14030349965 , 44
1024 , 0 , 100 , 5 , 25 , 0.219697 , 37287.71899479738 , 64
1024 , 0 , 100 , 5 , 50 , 1.319385 , 6208.953413901174 , 4
1024 , 0 , 100 , 5 , 50 , 0.221246 , 37026.658109073156 , 24
1024 , 0 , 100 , 5 , 50 , 0.239207 , 34246.489442198595 , 44
1024 , 0 , 100 , 5 , 50 , 0.221762 , 36940.50378333529 , 64
1024 , 0 , 100 , 5 , 75 , 0.860877 , 9515.877413381935 , 4
1024 , 0 , 100 , 5 , 75 , 0.230107 , 35600.82917946868 , 24
1024 , 0 , 100 , 5 , 75 , 0.211447 , 38742.56905985897 , 44
1024 , 0 , 100 , 5 , 75 , 0.227587 , 35995.02607793942 , 64
1024 , 0 , 100 , 5 , 100 , 0.632595 , 12949.83362182755 , 4
1024 , 0 , 100 , 5 , 100 , 0.214169 , 38250.16692425141 , 24
1024 , 0 , 100 , 5 , 100 , 0.209106 , 39176.30292770174 , 44
1024 , 0 , 100 , 5 , 100 , 0.218307 , 37525.13661953121 , 64
1024 , 5 , 100 , 5 , 25 , 2.950865 , 2776.1351332575364 , 4
1024 , 5 , 100 , 5 , 25 , 1.032844 , 7931.49788351387 , 24
1024 , 5 , 100 , 5 , 25 , 0.612255 , 13380.045895909385 , 44
1024 , 5 , 100 , 5 , 25 , 0.410652 , 19948.764403923517 , 64
1024 , 5 , 100 , 5 , 50 , 1.6667 , 4915.101697966041 , 4
1024 , 5 , 100 , 5 , 50 , 0.217774 , 37616.97907004509 , 24
1024 , 5 , 100 , 5 , 50 , 0.423256 , 19354.716767157464 , 44
1024 , 5 , 100 , 5 , 50 , 0.228401 , 35866.743140354025 , 64
1024 , 5 , 100 , 5 , 75 , 1.251936 , 6543.465480663549 , 4
1024 , 5 , 100 , 5 , 75 , 0.407082 , 20123.709719417708 , 24
1024 , 5 , 100 , 5 , 75 , 0.411433 , 19910.896792430358 , 44
1024 , 5 , 100 , 5 , 75 , 0.418103 , 19593.258120606646 , 64
1024 , 5 , 100 , 5 , 100 , 0.656947 , 12469.803500130149 , 4
1024 , 5 , 100 , 5 , 100 , 0.418652 , 19567.56446881897 , 24
1024 , 5 , 100 , 5 , 100 , 0.405876 , 20183.504321516917 , 44
1024 , 5 , 100 , 5 , 100 , 0.227238 , 36050.308487136834 , 64
1024 , 10 , 100 , 5 , 25 , 3.382139 , 2422.1358140514035 , 4
1024 , 10 , 100 , 5 , 25 , 1.031585 , 7941.1778961500995 , 24
1024 , 10 , 100 , 5 , 25 , 0.612678 , 13370.808156976424 , 44
1024 , 10 , 100 , 5 , 25 , 0.620639 , 13199.299431714731 , 64
1024 , 10 , 100 , 5 , 50 , 1.873884 , 4371.668683867304 , 4
1024 , 10 , 100 , 5 , 50 , 0.609833 , 13433.185806606072 , 24
1024 , 10 , 100 , 5 , 50 , 0.419008 , 19550.939361539637 , 44
1024 , 10 , 100 , 5 , 50 , 0.61992 , 13214.608336559555 , 64
1024 , 10 , 100 , 5 , 75 , 1.257117 , 6516.497668872507 , 4
1024 , 10 , 100 , 5 , 75 , 0.226317 , 36197.015690381195 , 24
1024 , 10 , 100 , 5 , 75 , 0.600281 , 13646.942015489414 , 44
1024 , 10 , 100 , 5 , 75 , 0.232287 , 35266.71746589349 , 64
1024 , 10 , 100 , 5 , 100 , 0.827272 , 9902.426287847285 , 4
1024 , 10 , 100 , 5 , 100 , 0.406534 , 20150.836092430152 , 24
1024 , 10 , 100 , 5 , 100 , 0.415925 , 19695.858628358477 , 44
1024 , 10 , 100 , 5 , 100 , 0.406274 , 20163.731865686703 , 64
1024 , 15 , 100 , 5 , 25 , 3.718473 , 2203.054856119703 , 4
1024 , 15 , 100 , 5 , 25 , 1.440694 , 5686.14848121808 , 24
1024 , 15 , 100 , 5 , 25 , 0.813273 , 10072.878356960086 , 44
1024 , 15 , 100 , 5 , 25 , 0.621985 , 13170.735628672717 , 64
1024 , 15 , 100 , 5 , 50 , 2.064962 , 3967.1432210374815 , 4
1024 , 15 , 100 , 5 , 50 , 0.623218 , 13144.678106216443 , 24
1024 , 15 , 100 , 5 , 50 , 0.817419 , 10021.788091541792 , 44
1024 , 15 , 100 , 5 , 50 , 0.838951 , 9764.575046695218 , 64
1024 , 15 , 100 , 5 , 75 , 1.459081 , 5614.492958238781 , 4
1024 , 15 , 100 , 5 , 75 , 0.410964 , 19933.619489784993 , 24
1024 , 15 , 100 , 5 , 75 , 0.603299 , 13578.673261517091 , 44
1024 , 15 , 100 , 5 , 75 , 0.431223 , 18997.131414604508 , 64
1024 , 15 , 100 , 5 , 100 , 1.064055 , 7698.850153422521 , 4
1024 , 15 , 100 , 5 , 100 , 0.431449 , 18987.180408344902 , 24
1024 , 15 , 100 , 5 , 100 , 0.419375 , 19533.830104321907 , 44
1024 , 15 , 100 , 5 , 100 , 0.614167 , 13338.391675228399 , 64
1024 , 20 , 100 , 5 , 25 , 4.395579 , 1863.6907674734093 , 4
1024 , 20 , 100 , 5 , 25 , 1.43225 , 5719.671844999127 , 24
1024 , 20 , 100 , 5 , 25 , 0.832096 , 9845.017882552014 , 44
1024 , 20 , 100 , 5 , 25 , 0.821487 , 9972.160241123718 , 64
1024 , 20 , 100 , 5 , 50 , 1.892933 , 4327.675622961827 , 4
1024 , 20 , 100 , 5 , 50 , 0.616639 , 13284.920350480588 , 24
1024 , 20 , 100 , 5 , 50 , 1.217594 , 6728.022641373068 , 44
1024 , 20 , 100 , 5 , 50 , 0.654304 , 12520.174108671199 , 64
1024 , 20 , 100 , 5 , 75 , 1.687128 , 4855.588906117378 , 4
1024 , 20 , 100 , 5 , 75 , 1.015215 , 8069.226715523313 , 24
1024 , 20 , 100 , 5 , 75 , 0.405799 , 20187.334123543922 , 44
1024 , 20 , 100 , 5 , 75 , 0.60724 , 13490.547394769777 , 64
1024 , 20 , 100 , 5 , 100 , 1.237931 , 6617.493220542987 , 4
1024 , 20 , 100 , 5 , 100 , 0.812102 , 10087.40281393224 , 24
1024 , 20 , 100 , 5 , 100 , 0.611912 , 13387.54592163579 , 44
1024 , 20 , 100 , 5 , 100 , 0.640872 , 12782.583729668328 , 64
1024 , 0 , 200 , 5 , 25 , 4.553441 , 1799.078982246613 , 4
1024 , 0 , 200 , 5 , 25 , 0.846479 , 9677.73565558035 , 24
1024 , 0 , 200 , 5 , 25 , 0.417737 , 19610.424740925508 , 44
1024 , 0 , 200 , 5 , 25 , 0.411908 , 19887.93614108005 , 64
1024 , 0 , 200 , 5 , 50 , 2.447136 , 3347.586729956978 , 4
1024 , 0 , 200 , 5 , 50 , 0.419536 , 19526.333854544067 , 24
1024 , 0 , 200 , 5 , 50 , 0.400207 , 20469.40708183515 , 44
1024 , 0 , 200 , 5 , 50 , 0.420205 , 19495.246367844265 , 64
1024 , 0 , 200 , 5 , 75 , 0.856827 , 9560.856508956884 , 4
